pick_up_obj("plate", "./LLM_only/initial_onto.ttl")
put_down_obj("plate", "countertop")
clean("plate", "./LLM_only/updated_onto.ttl")
put_down_obj("bowl", "countertop")
clean("bowl", "./LLM_only/updated_onto.ttl")
put_down_rec("plate", "sink")
put_down_rec("bowl", "sink")
switch("sink", "./LLM_only/updated_onto.ttl")
pour_contents("sink", "sink")
clean("plate", "./LLM_only/updated_onto.ttl")
pour_contents("sink", "sink")
put_down_rec("plate", "rack")
clean("bowl", "./LLM_only/updated_onto.ttl")
pour_contents("sink", "sink")
put_down_rec("bowl", "rack")
