clean("pan", "./LLM_KG/initial_onto.ttl")
put_down_rec("pan", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_tool("spoon", "countertop")
put_down_tool("knife", "countertop")
put_down_rec("pan", "stove")
pour_contents("oil", "pan")
put_down_obj("egg", "pan")
put_down_tool("spoon", "pan")
put_down_obj("salt", "pan")
fry("egg", "./LLM_KG/updated_onto.ttl")
put_down_rec("pan", "countertop")
put_down_rec("plate", "countertop")
pour_contents("pan", "plate")
