clean("pan", "./LLM_KG/initial_onto.ttl")
put_down_rec("pan", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_rec("pan", "stove")
put_down_tool("spatula", "pan")
put_down_tool("knife", "cutting_board")
put_down_obj("egg", "cutting_board")
put_down_tool("knife", "cutting_board")
slice("egg", "knife", "./LLM_KG/updated_onto.ttl")
put_down_obj("oil", "pan")
put_down_obj("salt", "pan")
fry("egg", "./LLM_KG/updated_onto.ttl")
put_down_rec("plate", "countertop")
put_down_tool("spatula", "pan")
