pick_up_obj("all_purpose_flour", "./LLM_KG/initial_onto.ttl")
put_down_obj("all_purpose_flour", "countertop")
put_down_obj("onion", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("potato", "countertop")
clean("knife", "./LLM_KG/updated_onto.ttl")
put_down_tool("knife", "countertop")
put_down_obj("all_purpose_flour", "kitchen_floor")
put_down_obj("water", "kitchen_floor")
pour_contents("all_purpose_flour", "kitchen_floor")
mix_contents("kitchen_floor", "./LLM_KG/updated_onto.ttl")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
mix_contents("countertop", "./LLM_KG/updated_onto.ttl")
pour_contents("oil", "kitchen_floor")
pour_contents("salt", "kitchen_floor")
mix_contents("kitchen_floor", "./LLM_KG/updated_onto.ttl")
put_down_obj("all_purpose_flour", "countertop")
mix_contents("countertop", "./LLM_KG/updated_onto.ttl")
put_down_obj("potato", "pan")
pour_contents("water", "pan")
boil("potato", "./LLM_KG/updated_onto.ttl")
put_down_obj("potato", "cutting_board")
put_down_obj("onion", "cutting_board")
slice("onion", "knife", "./LLM_KG/updated_onto.ttl")
put_down_obj("onion", "countertop")
mix_contents("countertop", "./LLM_KG/updated_onto.ttl")
put_down_obj("all_purpose_flour", "kitchen_floor")
put_down_obj("oil", "pan")
fry("all_purpose_flour", "./LLM_KG/updated_onto.ttl")
wash("flour", "./LLM_KG/updated_onto.ttl")
