clean("bowl", "./LLM_KG/initial_onto.ttl")
put_down_rec("bowl", "countertop")
put_down_obj("carrot", "countertop")
put_down_obj("butter", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("milk", "countertop")
slice("carrot", "knife", "./LLM_KG/updated_onto.ttl")
put_down_tool("knife", "countertop")
put_down_rec("pan", "stove")
put_down_obj("butter", "pan")
put_down_obj("carrot", "pan")
fry("carrot", "./LLM_KG/updated_onto.ttl")
put_down_obj("sugar", "pan")
put_down_obj("milk", "pan")
stir_contents("pan", "./LLM_KG/updated_onto.ttl")
put_down_rec("bowl", "pan")
pour_contents("pan", "bowl")
