pick_up_obj("milk", "./LLM_KG_Human/initial_onto.ttl")
put_down_obj("milk", "countertop")
put_down_obj("apple", "countertop")
put_down_obj("sugar", "countertop")
clean("glass", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("glass", "countertop")
put_down_rec("blender", "countertop")
slice("apple", "knife", "./LLM_KG_Human/updated_onto.ttl")
put_down_obj("apple", "blender")
put_down_obj("milk", "blender")
put_down_obj("sugar", "blender")
mix_contents("blender", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("glass", "countertop")
pour_contents("blender", "glass")
