clean("pan", "./LLM_KG_Human/initial_onto.ttl")
put_down_rec("pan", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("bread", "countertop")
put_down_obj("butter", "countertop")
put_down_obj("egg", "bowl")
put_down_obj("milk", "bowl")
put_down_obj("sugar", "bowl")
mix_contents("bowl", "./LLM_KG_Human/updated_onto.ttl")
put_down_tool("spoon", "countertop")
put_down_obj("bread", "pan")
put_down_obj("butter", "pan")
fry("bread", "./LLM_KG_Human/updated_onto.ttl")
put_down_obj("bread", "plate")
