clean("knife", "initial_onto.ttl")
pick_up_tool("knife", "updated_onto.ttl")
put_down_tool("knife", "countertop")
clean("bowl", "updated_onto.ttl")
pick_up_rec("bowl", "updated_onto.ttl")
put_down_rec("bowl", "countertop")
clean("spoon", "updated_onto.ttl")
pick_up_tool("spoon", "updated_onto.ttl")
put_down_tool("spoon", "countertop")
pick_up_obj("apple", "updated_onto.ttl")
put_down_obj("apple", "countertop")
pick_up_obj("flour", "updated_onto.ttl")
put_down_obj("flour", "countertop")
pick_up_obj("butter", "updated_onto.ttl")
put_down_obj("butter", "countertop")
pick_up_obj("sugar", "updated_onto.ttl")
put_down_obj("sugar", "countertop")
pick_up_obj("salt", "updated_onto.ttl")
put_down_obj("salt", "countertop")
pick_up_obj("water", "updated_onto.ttl")
put_down_obj("water", "countertop")
