pick_up_obj("milk", "./LLM_only/initial_onto.ttl")
put_down_obj("milk", "countertop")
put_down_obj("apple", "countertop")
put_down_obj("sugar", "countertop")
clean("glass", "./LLM_only/updated_onto.ttl")
put_down_rec("glass", "countertop")
put_down_tool("blender", "countertop")
slice("apple", "knife", "./LLM_only/updated_onto.ttl")
put_down_obj("sliced_apple", "blender")
put_down_obj("milk", "blender")
put_down_obj("sugar", "blender")
mix_contents("blender", "./LLM_only/updated_onto.ttl")
put_down_rec("glass", "countertop")
pour_contents("blender", "glass")
