clean("pan", "./LLM_only/initial_onto.ttl")
put_down_rec("pan", "countertop")
put_down_obj("bread", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("vanilla_extract", "countertop")
put_down_obj("bread", "pan")
put_down_obj("milk", "pan")
put_down_obj("sugar", "pan")
put_down_obj("egg", "pan")
put_down_obj("vanilla_extract", "pan")
mix_contents("pan", "./LLM_only/updated_onto.ttl")
switch("oven", "./LLM_only/updated_onto.ttl")
wait(20)
switch("oven", "./LLM_only/updated_onto.ttl")
put_down_rec("pan", "countertop")
