clean("bowl", "initial_onto.ttl")
put_down_rec("bowl", "countertop")
put_down_obj("chicken", "countertop")
put_down_obj("onion", "countertop")
put_down_obj("garlic", "countertop")
put_down_obj("yogurt", "countertop")
put_down_obj("lemon", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("pepper", "countertop")
put_down_obj("cumin_seed", "countertop")
put_down_obj("paprika", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_rec("bowl", "fridge")
put_down_obj("chicken", "pan")
fry("chicken", "updated_onto.ttl")
put_down_obj("chicken", "plate")
pour_contents("pan", "sink")
wait(1)
put_down_rec("plate", "countertop")
pour_contents("pan", "plate")
put_down_obj("cumin_seed", "countertop")
put_down_obj("paprika", "countertop")
