pick_up_obj("flour", "initial_onto.ttl")
put_down_obj("flour", "countertop")
put_down_obj("baking_powder", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("eggs", "countertop")
put_down_obj("vanilla", "countertop")
clean("bowl", "updated_onto.ttl")
put_down_rec("bowl", "countertop")
clean("spoon", "updated_onto.ttl")
put_down_obj("spoon", "countertop")
put_down_obj("chocolate", "countertop")
put_down_obj("cutting_board", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("flour", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("baking_powder", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("salt", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("sugar", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("oil", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("eggs", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("vanilla", "countertop")
put_down_obj("chocolate", "stove")
wait(2)
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("chocolate", "countertop")
put_down_rec("bowl", "countertop")
put_down_rec("cutting_board", "oven")
wait(12)
take_out_of_oven("cutting_board", "updated_onto.ttl")
serve("cutting_board", "updated_onto.ttl")
