pick_up_obj("bread", "./LLM_KG/initial_onto.ttl")
put_down_obj("bread", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("butter", "countertop")
put_down_rec("pan", "stove")
put_down_tool("knife", "countertop")
put_down_tool("spatula", "countertop")
clean("plate", "./LLM_KG/updated_onto.ttl")
put_down_rec("plate", "countertop")
put_down_obj("butter", "pan")
switch("stove", "./LLM_KG/updated_onto.ttl")
put_down_obj("egg", "pan")
put_down_obj("bread", "pan")
put_down_obj("butter", "pan")
put_down_obj("bread", "plate")
put_down_obj("egg", "plate")
put_down_obj("bread", "plate")
