pick_up_obj("apple", "./LLM_KG/initial_onto.ttl")
put_down_obj("apple", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_tool("knife", "countertop")
clean("blender", "./LLM_KG/updated_onto.ttl")
put_down_rec("blender", "countertop")
slice("apple", "knife", "./LLM_KG/updated_onto.ttl")
put_down_obj("apple", "countertop")
put_down_obj("milk", "blender")
put_down_obj("apple", "blender")
put_down_obj("sugar", "blender")
mix_contents("blender", "./LLM_KG/updated_onto.ttl")
pour_contents("blender", "glass")
