pick_up_obj("onion", "./LLM_KG/initial_onto.ttl")
put_down_obj("onion", "countertop")
put_down_obj("water", "countertop")
put_down_obj("salt", "countertop")
put_down_tool("knife", "countertop")
put_down_rec("cutting_board", "countertop")
put_down_rec("pan", "stove")
clean("bowl", "./LLM_KG/updated_onto.ttl")
put_down_rec("bowl", "countertop")
slice("onion", "knife", "./LLM_KG/updated_onto.ttl")
put_down_obj("onion", "pan")
put_down_obj("water", "pan")
boil("onion", "./LLM_KG/updated_onto.ttl")
put_down_obj("salt", "pan")
pour_contents("pan", "bowl")
