pick_up_obj("banana", "./LLM_KG/initial_onto.ttl")
put_down_obj("banana", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_tool("knife", "countertop")
put_down_rec("cutting_board", "countertop")
clean("pan", "./LLM_KG/updated_onto.ttl")
put_down_rec("pan", "countertop")
clean("plate", "./LLM_KG/updated_onto.ttl")
put_down_rec("plate", "countertop")
slice("banana", "knife", "./LLM_KG/updated_onto.ttl")
fry("banana", "./LLM_KG/updated_onto.ttl")
pour_contents("pan", "plate")
`sprinkle("salt", "./LLM_KG/updated_onto.ttl")
