pick_up_obj("egg", "./LLM_KG/initial_onto.ttl")
put_down_obj("egg", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_tool("knife", "countertop")
put_down_obj("butter", "countertop")
put_down_rec("bowl", "countertop")
put_down_tool("spoon", "countertop")
put_down_tool("chefs_knife", "countertop")
put_down_rec("pan", "stove")
put_down_rec("plate", "countertop")
crack_obj("egg", "./LLM_KG/updated_onto.ttl")
put_down_obj("egg", "countertop")
pour_contents("milk", "bowl")
put_down_obj("sugar", "bowl")
stir_contents("bowl", "./LLM_KG/updated_onto.ttl")
dip_obj("knife", "./LLM_KG/updated_onto.ttl")
put_down_tool("knife", "plate")
heat_obj("butter", "./LLM_KG/updated_onto.ttl")
fry("knife", "./LLM_KG/updated_onto.ttl")
put_down_rec("plate", "stove")
put_down_tool("knife", "plate")
