pick_up_rec("pan", "./LLM_KG/initial_onto.ttl")
clean("pan", "./LLM_KG/updated_onto.ttl")
put_down_rec("pan", "stove")
put_down_obj("water", "countertop")
put_down_obj("lime", "countertop")
put_down_obj("tea", "countertop")
clean("glass", "./LLM_KG/updated_onto.ttl")
put_down_rec("glass", "countertop")
put_down_obj("water", "pan")
boil("water", "./LLM_KG/updated_onto.ttl")
pour_contents("pan", "glass")
put_down_obj("tea", "glass")
slice("lime", "knife", "./LLM_KG/updated_onto.ttl")
put_down_obj("lime", "glass")
stir_contents("glass", "./LLM_KG/updated_onto.ttl")
