pick_up_obj("potato", "./LLM_KG/initial_onto.ttl")
put_down_obj("potato", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("oil", "countertop")
put_down_tool("knife", "countertop")
put_down_tool("spatula", "countertop")
clean("pan", "./LLM_KG/updated_onto.ttl")
put_down_rec("pan", "countertop")
slice("potato", "knife", "./LLM_KG/updated_onto.ttl")
pour_contents("oil", "pan")
switch("stove", "./LLM_KG/updated_onto.ttl")
fry("potato", "./LLM_KG/updated_onto.ttl")
stir_contents("pan", "./LLM_KG/updated_onto.ttl")
put_down_obj("salt", "pan")
put_down_rec("pan", "plate")
