pick_up_obj("bread", "./LLM_KG/initial_onto.ttl")
put_down_obj("bread", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("vanilla_extract", "countertop")
clean("bowl", "./LLM_KG/updated_onto.ttl")
put_down_rec("bowl", "countertop")
put_down_tool("spatula", "countertop")
put_down_obj("bread", "bowl")
put_down_obj("milk", "bowl")
put_down_obj("sugar", "bowl")
put_down_obj("egg", "bowl")
put_down_obj("vanilla_extract", "bowl")
stir_contents("bowl", "./LLM_KG/updated_onto.ttl")
pour_contents("bowl", "cake_pan")
put_down_rec("cake_pan", "oven")
wait(t)
slice("bread_pudding", "knife", "./LLM_KG/updated_onto.ttl")
put_down_rec("plate", "countertop")
put_down_obj("bread_pudding", "plate")
