pick_up_obj("bun", "./LLM_KG/initial_onto.ttl")
put_down_obj("bun", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("vanilla_extract", "countertop")
clean("bowl", "./LLM_KG/updated_onto.ttl")
put_down_rec("bowl", "countertop")
clean("cake_pan", "./LLM_KG/updated_onto.ttl")
put_down_rec("cake_pan", "countertop")
put_down_tool("knife", "countertop")
slice("bun", "chefs_knife", "./LLM_KG/updated_onto.ttl")
put_down_obj("bun", "bowl")
put_down_obj("milk", "bowl")
put_down_obj("sugar", "bowl")
put_down_obj("egg", "bowl")
put_down_obj("vanilla_extract", "bowl")
stir_contents("bowl", "./LLM_KG/updated_onto.ttl")
pour_contents("bowl", "cake_pan")
put_down_rec("cake_pan", "oven")
switch("oven", "./LLM_KG/updated_onto.ttl")
wait(t)
put_down_rec("cake_pan", "countertop")
