pick_up_rec("pan", "./LLM_KG_Human/initial_onto.ttl")
put_down_rec("pan", "stove")
put_down_obj("milk", "countertop")
put_down_obj("choco_powder", "countertop")
clean("glass", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("glass", "countertop")
pour_contents("milk", "pan")
switch("stove", "./LLM_KG_Human/updated_onto.ttl")
boil("milk", "./LLM_KG_Human/updated_onto.ttl")
put_down_obj("choco_powder", "pan")
stir_contents("pan", "./LLM_KG_Human/updated_onto.ttl")
pour_contents("pan", "glass")
put_down_rec("pan", "countertop")
put_down_rec("glass", "table")
