pick_up_obj("egg", "./LLM_KG_Human/initial_onto.ttl")
put_down_obj("egg", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_tool("knife", "countertop")
put_down_obj("butter", "countertop")
put_down_rec("bowl", "countertop")
put_down_tool("spoon", "countertop")
put_down_tool("chefs_knife", "countertop")
put_down_rec("pan", "stove")
put_down_rec("plate", "countertop")
put_down_obj("egg", "bowl")
pour_contents("milk", "bowl")
put_down_obj("sugar", "bowl")
stir_contents("bowl", "./LLM_KG_Human/updated_onto.ttl")
put_down_tool("knife", "bowl")
put_down_tool("knife", "countertop")
put_down_obj("butter", "pan")
fry("knife", "./LLM_KG_Human/updated_onto.ttl")
put_down_tool("knife", "plate")
