pick_up_obj("bread", "./LLM_KG_Human/initial_onto.ttl")
put_down_obj("bread", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("egg", "countertop")
put_down_obj("vanilla_extract", "countertop")
clean("bowl", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("bowl", "countertop")
put_down_tool("spatula", "countertop")
put_down_rec("cake_pan", "countertop")
put_down_obj("bread", "bowl")
put_down_obj("milk", "bowl")
put_down_obj("sugar", "bowl")
put_down_obj("egg", "bowl")
put_down_obj("vanilla_extract", "bowl")
stir_contents("bowl", "./LLM_KG_Human/updated_onto.ttl")
pour_contents("bowl", "cake_pan")
put_down_rec("cake_pan", "oven")
switch("oven", "./LLM_KG_Human/updated_onto.ttl")
wait(10)
switch("oven", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("cake_pan", "countertop")
slice("cake_pan", "knife", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("plate", "countertop")
put_down_obj("bread", "plate")
