pick_up_rec("pan", "./LLM_only/initial_onto.ttl")
put_down_rec("pan", "stove")
put_down_obj("milk", "countertop")
put_down_obj("choco_powder", "countertop")
clean("glass", "./LLM_only/updated_onto.ttl")
put_down_rec("glass", "countertop")
pour_contents("milk", "pan")
switch("stove", "./LLM_only/updated_onto.ttl")
boil("milk", "./LLM_only/updated_onto.ttl")
put_down_obj("choco_powder", "pan")
stir_contents("pan", "./LLM_only/updated_onto.ttl")
pour_contents("pan", "glass")
put_down_rec("pan", "countertop")
put_down_rec("glass", "table")
