pick_up_obj("egg", "./LLM_only/initial_onto.ttl")
put_down_obj("egg", "countertop")
put_down_obj("milk", "countertop")
put_down_obj("sugar", "countertop")
put_down_obj("bread", "countertop")
put_down_obj("butter", "countertop")
put_down_rec("bowl", "countertop")
put_down_tool("spoon", "countertop")
put_down_tool("chefs_knife", "countertop")
put_down_rec("frying_pan", "stove")
put_down_rec("plate", "countertop")
crack_obj("egg", "./LLM_only/updated_onto.ttl")
put_down_obj("egg", "countertop")
pour_contents("milk", "bowl")
put_down_obj("sugar", "bowl")
stir_contents("bowl", "./LLM_only/updated_onto.ttl")
dip_obj("bread", "./LLM_only/updated_onto.ttl")
put_down_obj("bread", "plate")
heat_obj("butter", "./LLM_only/updated_onto.ttl")
fry("bread", "./LLM_only/updated_onto.ttl")
put_down_rec("plate", "stove")
put_down_obj("bread", "plate")
